dataset;noise_level;model;mrr_filtered;mrr;mr_filtered;mr;hits@10_filtered;hits@10;hits@1_filtered;hits@1
fb15k-237;0;rescal;0,359;0,177;178,869;356,056;0,539;0,323;0,268;0,109
fb15k-237;0;transe;0,312;0,181;194,167;379,934;0,497;0,321;0,218;0,114
fb15k-237;0;distmult;0,343;0,185;181,906;343,739;0,532;0,328;0,250;0,115
fb15k-237;0;complex;0,347;0,186;168,078;325,870;0,535;0,330;0,254;0,116
fb15k-237;0;conve;0,337;0,185;176,602;338,985;0,521;0,332;0,246;0,115
fb15k-237;1;rescal;0,346;0,177;183,392;358,145;0,528;0,323;0,254;0,108
fb15k-237;1;transe;0,305;0,181;200,779;381,757;0,489;0,322;0,212;0,113
fb15k-237;1;distmult;0,330;0,183;188,564;348,010;0,519;0,325;0,236;0,113
fb15k-237;1;complex;0,336;0,186;179,503;334,665;0,527;0,328;0,242;0,117
fb15k-237;1;conve;0,331;0,185;178,367;340,197;0,514;0,330;0,239;0,116
fb15k-237;2;rescal;0,341;0,176;191,435;365,053;0,525;0,320;0,248;0,108
fb15k-237;2;transe;0,300;0,181;204,219;383,142;0,483;0,320;0,208;0,113
fb15k-237;2;distmult;0,325;0,183;193,559;351,123;0,515;0,326;0,232;0,115
fb15k-237;2;complex;0,329;0,184;180,350;334,310;0,520;0,328;0,234;0,115
fb15k-237;2;conve;0,323;0,184;181,885;340,853;0,507;0,331;0,230;0,115
fb15k-237;5;rescal;0,318;0,175;214,368;383,857;0,505;0,319;0,225;0,108
fb15k-237;5;transe;0,284;0,181;224,602;394,593;0,468;0,319;0,192;0,114
fb15k-237;5;distmult;0,307;0,181;207,388;360,847;0,498;0,322;0,213;0,113
fb15k-237;5;complex;0,312;0,183;198,487;348,768;0,502;0,325;0,217;0,113
fb15k-237;5;conve;0,306;0,183;191,143;345,932;0,493;0,327;0,213;0,115
fb15k-237;10;rescal;0,302;0,174;234,981;400,031;0,486;0,316;0,211;0,107
fb15k-237;10;transe;0,266;0,180;252,999;411,897;0,446;0,318;0,178;0,113
fb15k-237;10;distmult;0,285;0,178;233,933;380,584;0,472;0,317;0,194;0,110
fb15k-237;10;complex;0,291;0,180;222,455;365,500;0,481;0,319;0,198;0,112
fb15k-237;10;conve;0,286;0,183;210,806;359,100;0,470;0,326;0,198;0,114
fb15k-237_type;0;rescal;0,358;0,178;179,818;356,587;0,539;0,324;0,267;0,108
fb15k-237_type;0;transe;0,313;0,181;193,567;378,381;0,496;0,322;0,220;0,113
fb15k-237_type;0;distmult;0,342;0,184;185,342;345,807;0,532;0,328;0,248;0,114
fb15k-237_type;0;complex;0,347;0,186;170,736;328,089;0,535;0,332;0,254;0,116
fb15k-237_type;0;conve;0,338;0,185;171,946;334,081;0,523;0,332;0,246;0,115
fb15k-237_type;1;rescal;0,349;0,176;179,368;357,803;0,534;0,321;0,256;0,108
fb15k-237_type;1;transe;0,308;0,181;196,086;378,946;0,493;0,324;0,215;0,113
fb15k-237_type;1;distmult;0,334;0,184;185,145;345,434;0,526;0,327;0,239;0,114
fb15k-237_type;1;complex;0,338;0,186;169,088;326,388;0,530;0,329;0,243;0,116
fb15k-237_type;1;conve;0,332;0,186;178,233;339,904;0,517;0,334;0,239;0,116
fb15k-237_type;2;rescal;0,344;0,176;182,206;358,664;0,528;0,321;0,252;0,108
